"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
9.75,14.75,16.4166666666667,17.5,20.8333333333333,31.25,32,33.5,36.4166666666667,41.25,42,43.5,44.5,56,56.5,58.1666666666667,58.8333333333333,59.6666666666667,62.25,64.1666666666667,66.6666666666667,68
6.25,8.33333333333333,10.9166666666667,13.25,17.3333333333333,19.5,20.5,30.1666666666667,32,34.75,37,39,40.5,42.75,55.75,60.8333333333333,66.8333333333333,0,0,0,0,0
8.95,12.9166666666667,18.25,22,32.3333333333333,37.25,40.1166666666667,44.3333333333333,56,60.2666666666667,60.85,65.1666666666667,68.6,0,0,0,0,0,0,0,0,0
7.16666666666667,10,11,14,17.5,22,31.25,35.25,38,41,46,57.5,0,0,0,0,0,0,0,0,0,0
11,13.5,15.5,20,26.6666666666667,30,35,36.5,38.5,42,0,0,0,0,0,0,0,0,0,0,0,0
10,18,21,40,41.9166666666667,45,55,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,11.5,13.25,15.75,17,18.5,23,32.75,37.25,41.25,43.1666666666667,45,46.8333333333333,56.8333333333333,57.75,58.8333333333333,62.75,67.5833333333333,70.25,0,0,0
8.83333333333334,13.0833333333333,14.5833333333333,18.5,27.75,30.5,32.75,35,38.75,41.6666666666667,51.75,54.5,57.75,59,62.5,65.5833333333333,0,0,0,0,0,0
6.5,13,15.3333333333333,20.1666666666667,22,30.5,34,37.5,39.3333333333333,43,46,54,56,58,64,67.5,0,0,0,0,0,0
10.5166666666667,12.55,14.9,20.8333333333333,21,23.25,34.15,37.9333333333333,43,46.2,57,62.5833333333333,65.2833333333334,69.25,0,0,0,0,0,0,0,0
10,14.3333333333333,19.25,33,40.25,42.8333333333333,57,62.5,66.25,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,12.75,15.5,16.9166666666667,19.75,31.1666666666667,35.75,39.5,41.1666666666667,43.5,44.5,55.1666666666667,59.6666666666667,63.5,67.25,68.5833333333333,69.25,0,0,0,0,0
8.66666666666666,11.3333333333333,15.5,21,21.5,34,36.25,41.25,44.25,56,60.5,61.5,65.75,67.5,69,0,0,0,0,0,0,0
9.25,12.6666666666667,13.6666666666667,18.1666666666667,34,37.8333333333333,40.5,42.5,44,46,57.5,60.5,65.25,68,0,0,0,0,0,0,0,0
4.41666666666667,8.91666666666666,13.25,16.25,17,26.5833333333333,30.9166666666667,33.8333333333333,39.5,40.9166666666667,42,44.5,53.5,57.0333333333333,61.4833333333333,64.7333333333333,0,0,0,0,0,0
